ts_ist,date_ist,run_id,step,model,tokens_in,tokens_out,tokens_thinking,grounded_queries,url_fetches,cost_usd,note
2026-08-15T15:11:54.475336+05:30,2026-08-15,20260815T151144+0530,select,gemini-2.5-flash-lite,3612,68,0,0,0,0.001254,
2026-08-15T15:12:19.188496+05:30,2026-08-15,20260815T151144+0530,research,gemini-3.5-flash,2614,2146,2329,8,0,0.156196,
2026-08-15T15:12:59.064492+05:30,2026-08-15,20260815T151144+0530,research,gemini-3.5-flash,2604,2389,4710,9,0,0.193797,
2026-08-15T15:14:02.794959+05:30,2026-08-15,20260815T151144+0530,write,gemini-3.5-flash,11542,3416,10889,0,0,0.146058,
2026-08-15T15:16:25.926031+05:30,2026-08-15,20260815T151144+0530,write,gemini-3.5-flash,13894,4902,14317,0,0,0.193812,
2026-08-15T15:17:43.119036+05:30,2026-08-15,20260815T151144+0530,docket,gemini-2.5-flash-lite,5916,1466,0,0,0,0.00544,
2026-08-15T15:17:45.009924+05:30,2026-08-15,20260815T151144+0530,social,gemini-2.5-flash-lite,2590,199,0,0,0,0.001275,
2026-08-15T15:38:34.105056+05:30,2026-08-15,20260815T153832+0530,select,gemini-2.5-flash-lite,3613,61,0,0,0,0.001236,
2026-08-15T15:39:05.717626+05:30,2026-08-15,20260815T153832+0530,research,gemini-3.5-flash,2613,2106,4199,7,0,0.158664,
2026-08-15T15:39:34.746609+05:30,2026-08-15,20260815T153832+0530,research,gemini-3.5-flash,2603,1928,5563,8,0,0.183324,
2026-08-15T15:40:41.762912+05:30,2026-08-15,20260815T153832+0530,write,gemini-3.5-flash,12704,3422,12080,0,0,0.158574,
2026-08-15T15:40:42.835013+05:30,2026-08-15,20260815T153832+0530,citation_check_0,gemini-2.5-flash-lite,0,0,0,0,0,-1.0,"error:RuntimeError:HTTP 400 from gemini-2.5-flash-lite@global: {""code"": 400, ""message"": ""Unable to submit request because controlled generation is not supported with URL"
2026-08-15T15:40:43.106775+05:30,2026-08-15,20260815T153832+0530,citation_check_1,gemini-2.5-flash-lite,0,0,0,0,0,-1.0,"error:RuntimeError:HTTP 400 from gemini-2.5-flash-lite@global: {""code"": 400, ""message"": ""Unable to submit request because controlled generation is not supported with URL"
2026-08-15T15:40:43.905541+05:30,2026-08-15,20260815T153832+0530,citation_check_2,gemini-2.5-flash-lite,0,0,0,0,0,-1.0,"error:RuntimeError:HTTP 400 from gemini-2.5-flash-lite@global: {""code"": 400, ""message"": ""Unable to submit request because controlled generation is not supported with URL"
2026-08-15T15:40:44.824407+05:30,2026-08-15,20260815T153832+0530,citation_check_3,gemini-2.5-flash-lite,0,0,0,0,0,-1.0,"error:RuntimeError:HTTP 400 from gemini-2.5-flash-lite@global: {""code"": 400, ""message"": ""Unable to submit request because controlled generation is not supported with URL"
2026-08-15T15:40:45.564413+05:30,2026-08-15,20260815T153832+0530,citation_check_4,gemini-2.5-flash-lite,0,0,0,0,0,-1.0,"error:RuntimeError:HTTP 400 from gemini-2.5-flash-lite@global: {""code"": 400, ""message"": ""Unable to submit request because controlled generation is not supported with URL"
2026-08-15T15:40:46.346146+05:30,2026-08-15,20260815T153832+0530,citation_check_5,gemini-2.5-flash-lite,0,0,0,0,0,-1.0,"error:RuntimeError:HTTP 400 from gemini-2.5-flash-lite@global: {""code"": 400, ""message"": ""Unable to submit request because controlled generation is not supported with URL"
2026-08-15T15:41:50.592066+05:30,2026-08-15,20260815T153832+0530,write,gemini-3.5-flash,16109,3892,11348,0,0,0.161324,
2026-08-15T15:43:07.576431+05:30,2026-08-15,20260815T153832+0530,write,gemini-3.5-flash,12743,2978,13398,0,0,0.166499,
2026-08-15T15:43:08.407702+05:30,2026-08-15,20260815T153832+0530,citation_check_0,gemini-2.5-flash-lite,0,0,0,0,0,-1.0,"error:RuntimeError:HTTP 400 from gemini-2.5-flash-lite@global: {""code"": 400, ""message"": ""Unable to submit request because controlled generation is not supported with URL"
2026-08-15T15:43:09.331883+05:30,2026-08-15,20260815T153832+0530,citation_check_1,gemini-2.5-flash-lite,0,0,0,0,0,-1.0,"error:RuntimeError:HTTP 400 from gemini-2.5-flash-lite@global: {""code"": 400, ""message"": ""Unable to submit request because controlled generation is not supported with URL"
2026-08-15T15:43:24.572614+05:30,2026-08-15,20260815T153832+0530,docket,gemini-2.5-flash-lite,5917,8192,0,0,0,0.022255,
2026-08-15T15:43:26.539494+05:30,2026-08-15,20260815T153832+0530,social,gemini-2.5-flash-lite,2284,182,0,0,0,0.00114,
2026-08-15T15:58:34.855296+05:30,2026-08-15,20260815T155825+0530,select,gemini-2.5-flash-lite,3613,68,0,0,0,0.001254,
